"","source","target","weight"
"1665","1785_Moritz,KarlPhilipp_AntonReiser_Novel_4000.txt",218,0.369058086469239
"1666","1785_Moritz,KarlPhilipp_AntonReiser_Novel_40000.txt",218,0.598019136060542
"1667","1785_Moritz,KarlPhilipp_AntonReiser_Novel_41000.txt",218,0.533692256851548
"1668","1785_Moritz,KarlPhilipp_AntonReiser_Novel_42000.txt",218,0.598360584213526
"1669","1785_Moritz,KarlPhilipp_AntonReiser_Novel_43000.txt",218,0.612198842678421
"1670","1785_Moritz,KarlPhilipp_AntonReiser_Novel_44000.txt",218,0.523789733046064
"1671","1785_Moritz,KarlPhilipp_AntonReiser_Novel_45000.txt",218,0.557188542012357
"1672","1785_Moritz,KarlPhilipp_AntonReiser_Novel_46000.txt",218,0.653087455506141
"21821","1785_Moritz,KarlPhilipp_AntonReiser_Novel_47000.txt",218,0.432694173117954
"1673","1785_Moritz,KarlPhilipp_AntonReiser_Novel_48000.txt",218,0.513004461333933
"1674","1785_Moritz,KarlPhilipp_AntonReiser_Novel_49000.txt",218,0.525385055949783
"21822","1785_Moritz,KarlPhilipp_AntonReiser_Novel_5000.txt",218,0.404299911483538
"21823","1785_Moritz,KarlPhilipp_AntonReiser_Novel_50000.txt",218,0.50024400248021
"1675","1785_Moritz,KarlPhilipp_AntonReiser_Novel_51000.txt",218,0.534518220984992
"1676","1785_Moritz,KarlPhilipp_AntonReiser_Novel_52000.txt",218,0.490685211142782
"1677","1785_Moritz,KarlPhilipp_AntonReiser_Novel_53000.txt",218,0.523416390316611
"21824","1785_Moritz,KarlPhilipp_AntonReiser_Novel_54000.txt",218,0.61652636999195
"1678","1785_Moritz,KarlPhilipp_AntonReiser_Novel_55000.txt",218,0.601978354580539
"1679","1785_Moritz,KarlPhilipp_AntonReiser_Novel_56000.txt",218,0.513195311895144
"1680","1785_Moritz,KarlPhilipp_AntonReiser_Novel_57000.txt",218,0.6465133370381
"1681","1785_Moritz,KarlPhilipp_AntonReiser_Novel_58000.txt",218,0.70317946445015
"1682","1785_Moritz,KarlPhilipp_AntonReiser_Novel_59000.txt",218,0.661695805987312
"1683","1785_Moritz,KarlPhilipp_AntonReiser_Novel_6000.txt",218,0.490043254412867
"1684","1785_Moritz,KarlPhilipp_AntonReiser_Novel_60000.txt",218,0.611387460593223
"1685","1785_Moritz,KarlPhilipp_AntonReiser_Novel_61000.txt",218,0.581410616229384
"1686","1785_Moritz,KarlPhilipp_AntonReiser_Novel_62000.txt",218,0.643779346578635
"1687","1785_Moritz,KarlPhilipp_AntonReiser_Novel_63000.txt",218,0.686242831644739
