topic.no,no.tokens,no.docs,no.novels,heterogeneity,avg.date,sd.date,coherence.total,sim.score,tokens.per,docs.per,novels.per,het.per,avg.date.per,sd.date.per,coherence.per,sim.per
289,264484,25,16,0.84,1841,29,162.2416218147,0.780397776,43,22,85,93,52,74,85,62
290,203767,51,26,0.862745098,1835,24,127.8084258867,0.7346324462,14,62,100,98,47,63,48,10
291,283683,79,6,0.1265822785,1797,6,78.8716109294,0.7456439288,52,78,39,21,11,28,8,20
292,364537,35,21,0.7714285714,1846,31,133.1995673262,0.7481352918,93,45,96,78,56,79,55,24
293,244696,28,12,0.6428571429,1857,31,182.3734824167,0.7254572241,30,31,72,62,68,79,95,4
295,394123,46,24,0.8043478261,1843,43,104.5650675801,0.7693950057,98,58,99,87,53,97,27,48
296,262651,24,11,0.5833333333,1862,23,147.4402416719,0.7656149655,41,20,67,56,72,60,77,44
297,240020,62,1,0,1791,0,135.6501138139,0.8170709285,27,70,7,7,6,9,60,94
298,234937,34,4,0.1176470588,1912,23,126.2227340298,0.8299031936,26,44,29,20,98,61,46,98
299,181056,81,3,0.0987654321,1816,5,162.903889438,0.7739171876,8,79,22,18,28,25,86,52
300,304543,39,6,0.3076923077,1864,26,99.9145259157,0.811090424,66,50,39,29,76,67,23,91
