"","X.2","X.1","STORY.ID","PUB..DATE","COLLECTION","GENRE","X..PREDICATE","X..AGENT","X..PATIENT","X..POSESSOR","AFFECT","COGITATION","SOCIABILITY","POLARITY","COMMUNICATIVENESS","CONCRETENESS","ABTRACTION","OBJECTIVITY","DISTINCTIVENESS.AwSaid","DISTINCTIVENESS.AwoSaid","DEPTH","CLASS.SIMILIARITY","HOMOGENEITY","DISTINCTIVENESS.BwStop","DISTINCTIVENESS.BwoStop","EMBODIMENT","CLOTHES","MOTION","PHYSICAL","PERCEPTION","VALUATION","CENTRALITY","ENSEMBLE","DISTRIBTION","MENTIONS","POPULATION","PROTAG..NAME","PROTAG..GENDER","X","cog_per"
"6464",6464,6479,"2005_Steinke,Rene_HolySkirts_PW",2005,"contemporary","prizewinners",0.0226934524,0.6365327381,0.0703125,0.2704613095,8.32,10.55,0.005622053,0.5,0.0302865433,0.0052593399,0.5807036634,0.4377947044,7.6159444274,6.762501422,0.8416611903,0.8677338599,0.7548948344,1.9374647656,1.2902769926,0.1062749365,0.0230322815,0.058034095,0.0045339137,0.0749002539,0.0047152702,6.8702702703,6,3.8066956281,4022.0882580972,0.7911267227,"Elsa","F",NA,0.1804002539
"6466",6466,6481,"2005_Vollmann,WilliamT_EuropeCentral_PW",2005,"contemporary","prizewinners",0.0712881023,0.5550639135,0.1012782694,0.2723697148,12.51,6.74,0.0094562648,0.625,0.0203309693,0.0264775414,0.5120567376,0.3375886525,5.2282605756,4.7533008235,0.869180518,0.7590653115,0.5842739189,1.5426903222,1.0345331106,0.0609929078,0.0080378251,0.0326241135,0.0080378251,0.0425531915,0.0122931442,1.4586415602,2,2.2504370487,634.2698732045,0.2924250222,"Shostakovich","M",NA,0.1099531915
"6469",6469,6484,"2005_Yarbrough,Steve_PrisonersofWar_PW",2005,"contemporary","prizewinners",0.023642732,0.6751313485,0.0551663748,0.2460595447,5.89,8.03,0.0085106383,0.125,0.0774468085,0.0042553191,0.629787234,0.4238297872,9.7699542836,4.0131356367,0.8230526876,0.9211558003,0.6759704693,1.8533448552,1.3124503221,0.0842553191,0.0110638298,0.0808510638,0.0059574468,0.0629787234,0.0085106383,1.7084690554,3,2.2081729642,1442.7176454408,1.3753266401,"Dan","M",NA,0.1432787234
"6470",6470,6485,"2006_Behrens,Peter_LawofDreams_PW",2006,"contemporary","prizewinners",0.0230105465,0.6941514861,0.0781399808,0.2046979866,5.3,7.27,0.0117260788,0.375,0.015478424,0.0075046904,0.5759849906,0.4971857411,6.9530586803,7.1787619062,0.8402966146,0.689586194,0.5806763899,1.7988832954,1.2661777448,0.1003752345,0.0126641651,0.0727016886,0.0023452158,0.1557223265,0.0051594747,2.2505720824,2,2.901871128,1763.8249984308,0.8967081843,"Fergus","M",NA,0.2284223265
"6472",6472,6487,"2006_Brooks,Max_WorldWarZ_BS",2006,"contemporary","bestsellers",0.0853658537,0.4146341463,0.2073170732,0.2926829268,6.25,3.75,0,0.5,0,0.0361445783,0.5421686747,0.421686747,2.4670101668,2.4670101668,0.8612377275,0.2527202324,0.0902353611,2.0188574875,1.7023448207,0.0843373494,0,0.0481927711,0,0.0240963855,0.0120481928,1.0333333333,2,1.4467241821,79.5531337947,0.8554100408,"Zack","M",NA,0.0615963855
"6473",6473,6488,"2006_Campbell,Jack_TheLostFleet_SF",2006,"contemporary","scifi",0.0216927454,0.7119487909,0.0650782361,0.2012802276,9.16,12.67,0.0076708508,0.375,0.0059274756,0.0059274756,0.6739888424,0.3546025105,5.888809496,5.9142461926,0.8364989186,0.6299665674,0.5394144369,1.9892033054,1.4663322012,0.0523012552,0.0017433752,0.0212691771,0.0055788006,0.1412133891,0.0069735007,3.2532391048,2,3.6205517002,2939.7364667816,1.0643506397,"Geary","M",NA,0.2679133891
"6474",6474,6489,"2006_Cole,Trevor_TheFearsomeParticles_PW",2006,"contemporary","prizewinners",0.0258999122,0.6654960492,0.0597014925,0.2489025461,7.81,8.11,0.0017094017,0.375,0.0388888889,0.0068376068,0.5918803419,0.4247863248,7.1415144765,5.0641454639,0.8465813312,0.8525388065,0.6887898427,1.7175551084,1.1573143879,0.0645299145,0.0076923077,0.0517094017,0.0042735043,0.0876068376,0.0094017094,1.7019762846,2,2.5440727569,2395.5227201923,1.1126440874,"Gerald","M",NA,0.1687068376
"6478",6478,6493,"2006_Fisher,Karen_ASuddenCountry_PW",2006,"contemporary","prizewinners",0.0216473073,0.7418162619,0.0348468849,0.2016895459,4.73,8.48,0.0056847545,0.875,0.0516795866,0.0046511628,0.5839793282,0.4671834625,7.791895622,5.2519370552,0.827957637,0.8758645378,0.7680165848,1.6852200887,1.1269132472,0.084754522,0.0211886305,0.080620155,0.0056847545,0.0925064599,0.0015503876,1.0615191463,2,2.3754949563,1321.7174859988,0.829703381,"Lucy","F",NA,0.1773064599
"6480",6480,6495,"2006_Grenville,Kate_SecretRiver_PW",2006,"contemporary","prizewinners",0.0501110054,0.63685379,0.0602600698,0.2527751348,5.6,9.62,0.0090342679,0.5,0.0330218069,0.0190031153,0.5834890966,0.445482866,8.6983767835,9.1321831804,0.8212713756,0.7872942006,0.6985126477,1.9417450263,1.2213463383,0.1080996885,0.0137071651,0.0445482866,0.007788162,0.137694704,0.0028037383,3.1074380165,2,3.5239651743,2690.3984616073,0.8944143822,"Thornhill","M",NA,0.233894704
"6481",6481,6496,"2006_Gruen,Sara_WaterforElephants_BS",2006,"contemporary","bestsellers",0.0318518519,0.5837037037,0.0748148148,0.3096296296,3.65,1.6,0.0021913806,0.25,0.0781592403,0.0065741417,0.6530314098,0.4981738495,10.6502125773,4.2294133937,0.8418048989,0.834303339,0.4605541159,1.7939560429,1.3028845507,0.1738495252,0.0219138057,0.0891161432,0.0065741417,0.0219138057,0.0007304602,2.559352518,3,2.9542093884,1398.0036939521,0.9824340787,"Marlena","F",NA,0.0379138057
"6482",6482,6497,"2006_Hage,Rawi_DeNirosGame_PW",2006,"contemporary","prizewinners",0.0298850575,0.6103448276,0.1034482759,0.2563218391,6.4,3.25,0.0056433409,0,0.0530474041,0.0033860045,0.6060948081,0.4480812641,5.7783369479,3.2676004615,0.8374848303,0.8232952699,0.502355724,1.6673614419,1.1627424288,0.0620767494,0.0169300226,0.0711060948,0.0033860045,0.0496613995,0.0045146727,1.7828054299,2,2.8251264266,1165.4563471522,1.4790055167,"George","M",NA,0.0821613995
"6483",6483,6498,"2006_Jacobs,Kate_FridayNightKnitting_BS",2006,"contemporary","bestsellers",0.1018119068,0.5746333046,0.1578947368,0.1656600518,9.5,6.44,0.0266222962,0,0.0457570715,0.0657237937,0.5640599002,0.3485856905,7.9165083235,5.5612442941,0.8396174286,0.8834844115,0.6983907126,1.3404425887,0.9393937295,0.0474209651,0.0124792013,0.0415973378,0.0183028286,0.0507487521,0.0124792013,1.9381761978,3,2.6022865949,2149.6897178318,0.8571330613,"Anita","F",NA,0.1151487521
"6484",6484,6499,"2006_Kalfus,Ken_DisorderPeculiar_PW",2006,"contemporary","prizewinners",0.0247524752,0.6787128713,0.0465346535,0.25,8.61,10.51,0.0061904762,0.375,0.0219047619,0.0076190476,0.5666666667,0.3742857143,5.4663997575,4.930201643,0.8578689434,0.8202570537,0.5164666056,1.5924433293,1.0569868359,0.060952381,0.010952381,0.0504761905,0.0042857143,0.059047619,0.0061904762,2.2315914489,2,3.057863941,2603.3945271909,1.3855213024,"Marshall","M",NA,0.164147619
