STORY.ID,PUB..DATE,COLLECTION,GENRE,X..PREDICATE,X..AGENT,X..PATIENT,X..POSESSOR,AFFECT,COGITATION,SOCIABILITY,POLARITY,COMMUNICATIVENESS,CONCRETENESS,ABTRACTION,OBJECTIVITY,DISTINCTIVENESS.AwSaid,DISTINCTIVENESS.AwoSaid,DEPTH,CLASS.SIMILIARITY,HOMOGENEITY,DISTINCTIVENESS.BwStop,DISTINCTIVENESS.BwoStop,EMBODIMENT,CLOTHES,MOTION,PHYSICAL,PERCEPTION,VALUATION,CENTRALITY,ENSEMBLE,DISTRIBTION,MENTIONS,POPULATION,PROTAG..NAME,PROTAG..GENDER,AUTH_GENDER,cog_per,cog_per_norm,GENRE
21546,1978,klab,DNE,0.064516129,0.7601683029,0.0841514727,0.0911640954,9.66,16.19,0.0095238095,0.25,0.0299319728,0.0258503401,0.5931972789,0.2911564626,4.813002894,4.93914084,0.8461330229,0.6919628846,0.5122108488,1.7941196454,1.2778728119,0.0217687075,0.0013605442,0.0503401361,0.0054421769,0.0897959184,0.0176870748,1.7332402235,2,2.1186743364,1165.3645833333,1.6276041667,Francesca,F,M,0.2516959184,2.4745723205,young adult fiction
20627,1965,klab,DNE,0.0211960636,0.659348978,0.0651021953,0.2543527631,6.02,14.13,0.005952381,1.125,0.1056547619,0.0081845238,0.6235119048,0.4233630952,12.6835671942,6.7875371588,0.8868712896,0.8299377585,0.5589874327,1.8080137016,1.3626214259,0.0773809524,0.0305059524,0.0453869048,0.0037202381,0.1101190476,0.0074404762,1.8350515464,2,2.9656228659,1945.3855641774,1.5613046261,Anne,F,F,0.2514190476,2.4676931378,historical fiction
23031,1989,klab,DNE,0.0309433962,0.7698113208,0.0581132075,0.1411320755,8.11,14.52,0.0051584377,0.375,0.027266028,0.0243183493,0.5917464996,0.3633014001,6.547616249,6.8291485619,0.8757352914,0.7304718097,0.3637878465,1.5913410591,1.0647249492,0.0611643331,0.0066322771,0.0471628592,0.0103168755,0.1061164333,0.0044215181,1.4636678201,2,2.4268404661,1030.2331623044,0.8118464636,Kesbe,F,F,0.2513164333,2.465143564,scifi
23530,1969,klab,DNE,0.0760667904,0.7903525046,0.107606679,0.025974026,5.42,16.27,0.0741410488,0.25,0.1555153707,0.0542495479,0.5840867993,0.2206148282,9.1865505099,6.3541410653,0.7936895931,0.8524483729,0.6733700232,2.1659958645,1.7042555445,0.0126582278,0.0036166365,0.0524412297,0.0162748644,0.0886075949,0.0072332731,1.3082191781,3,2.2408087243,1851.5646205747,1.938811121,Marty,M,M,0.2513075949,2.4649239635,scifi
11046,1933,klab,DNE,0.0508710801,0.7177700348,0.0787456446,0.1526132404,12.29,18.01,0.0052083333,0.125,0.0377604167,0.0208333333,0.564453125,0.2115885417,6.2359334993,5.0184936388,0.8318183913,0.7929153203,0.5222014371,1.7281128047,1.2355061218,0.0240885417,0.0032552083,0.0305989583,0.0045572917,0.0709635417,0.0123697917,3.3681710214,2,3.5314584153,2316.9934640523,1.6339869281,Conway,M,M,0.2510635417,2.4588601729,scifi
21633,1979,klab,DNE,0.0193765796,0.7245155855,0.0463352991,0.2097725358,7.13,11.87,0.0041220115,0,0.104286892,0.0032976092,0.6306677659,0.4072547403,13.1694856143,7.7066938434,0.7982207467,0.8899921447,0.8689295144,2.1102207768,1.4515339479,0.0630667766,0.0041220115,0.0539983512,0.0049464138,0.1323165705,0.0024732069,1.4140168722,2,2.4519649882,1523.0945590785,0.6989878656,Arthur,M,M,0.2510165705,2.4576931178,adventure/war
20279,1957,klab,DNE,0.0516877637,0.8196202532,0.0537974684,0.0748945148,10.4,16.46,0.009118541,0.25,0.0263424519,0.0182370821,0.5552178318,0.2907801418,5.1346985195,5.2144527503,0.805233509,0.7343280007,0.3551611219,1.3320300885,0.9691137823,0.0233029382,0,0.0496453901,0.0040526849,0.0861195542,0.0172239108,1.6532846715,2,2.6147714598,1103.2500821958,1.2177153225,Thorby,?,M,0.2507195542,2.4503133963,scifi
11923,1950,klab,DNE,0.0356016224,0.6989634971,0.1104100946,0.1550247859,11.54,18.11,0.0084745763,0.125,0.0944915254,0.0144067797,0.5677966102,0.2360169492,13.5525213605,8.0497612767,0.9084750391,0.8789965738,0.7793210373,2.0223503136,1.4889630933,0.0156779661,0.0080508475,0.0525423729,0.0063559322,0.0694915254,0.0139830508,1.7490317583,2,2.8635873614,2991.1642755898,1.3246963134,Belinda,F,F,0.2505915254,2.4471323692,literary fiction
22212,1984,klab,DNE,0.0307692308,0.763562753,0.0429149798,0.1627530364,9.15,18.15,0.0054432348,0.875,0.0217729393,0.0085536547,0.5147744946,0.2737169518,5.8005264002,5.9547133877,0.9321249921,0.6844059135,0.4555057765,1.4638352051,1.0840100551,0.0233281493,0.0062208398,0.0248833593,0.0062208398,0.0684292379,0.0202177294,1.4123006834,2,2.0087110781,1138.6802328785,0.9182905104,Koesler,M,M,0.2499292379,2.4306770524,mystery
20325,1958,klab,DNE,0.02335974,0.7081048141,0.0611415803,0.2073938655,7.22,13.27,0.0092775365,0.375,0.0718515594,0.0082905645,0.6148835373,0.361231741,12.3360033453,7.2770316202,0.9571616585,0.9149791546,0.8699525252,2.1247287633,1.4937414791,0.0894196605,0.0096723253,0.0509277537,0.0035530991,0.1170548756,0.0092775365,1.3591160221,2,2.3045206294,1277.3981962285,0.2732987155,Dante,M,M,0.2497548756,2.4263448147,adventure/war
