"","source","target","weight","count.source","count.target","count.diff","abs.diff","work.diff","date.diff"
"137","1841_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Zeitbilder_Die Gaben.txt","1839_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Scherz und Ernst_Des alten Pfarrers Woche_Samstag.txt",27.4954415416072,240,322,-0.341666666666667,0.341666666666667,68,2
"138","1841_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Zeitbilder_Die Gaben.txt","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am dreiundzwanzigsten Sonntage nach Pfingsten.txt",26.8416420005947,240,354,-0.475,0.475,58,2
"139","1841_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Zeitbilder_Die Schulen.txt","1838_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Fels, Wald und See_Der Säntis_Herbst.txt",28.6232406564762,126,104,0.211538461538462,0.211538461538462,78,3
"140","1841_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Zeitbilder_Die Schulen.txt","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Palmsonntage.txt",28.3837052412327,126,216,-0.714285714285714,0.714285714285714,90,22
"141","1841_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Zeitbilder_Ungastlich oder nicht.txt","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am neunten Sonntage nach Pfingsten.txt",34.6506542656314,370,344,0.0755813953488372,0.0755813953488372,43,2
"142","1841_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Zeitbilder_Ungastlich oder nicht.txt","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am vierzehnten Sonntage nach Pfingsten.txt",33.8766533385599,370,359,0.0306406685236769,0.0306406685236769,26,2
"143","1841_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Zeitbilder_Vor vierzig Jahren.txt","1841_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Zeitbilder_Ungastlich oder nicht.txt",33.0246067093806,275,370,-0.345454545454545,0.345454545454545,1,0
"144","1842_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Balladen_Kurt von Spiegel.txt","1841_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Balladen_Das Fegefeuer des westfälischen Adels.txt",12.679819873738,577,716,-0.240901213171577,0.240901213171577,18,1
"145","1842_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Balladen_Meister Gerhard von Köln.txt","1841_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Balladen_Der Graue.txt",13.4325960563112,585,1141,-0.95042735042735,0.95042735042735,16,1
"146","1842_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Fels, Wald und See_Am Turme.txt","1841_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Fels, Wald und See_Die Elemente_Luft.txt",32.0087979002143,188,140,0.342857142857143,0.342857142857143,11,1
"147","1842_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Fels, Wald und See_Im Moose.txt","1838_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Fels, Wald und See_Am Weiher_Ein harter Wintertag.txt",33.4621789302799,321,171,0.87719298245614,0.87719298245614,87,4
"148","1842_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Gedichte vermischten Inhalts_Die Taxuswand.txt","1841_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Zeitbilder_Die Schulen.txt",39.9529586116513,214,126,0.698412698412698,0.698412698412698,7,1
"149","1842_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Gedichte vermischten Inhalts_Ein Sommertagstraum_Das Autograph.txt","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am vierten Sonntage nach Ostern.txt",14.1650515738912,425,267,0.591760299625468,0.591760299625468,36,3
"150","1842_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Gedichte vermischten Inhalts_Ein Sommertagstraum_Das Autograph.txt","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Pfingstsonntage.txt",13.494266762235,425,263,0.615969581749049,0.615969581749049,46,3
"151","1842_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Gedichte vermischten Inhalts_Ein Sommertagstraum_Der Denar.txt","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am vierten Sonntage im Advent.txt",28.2458027485248,210,366,-0.742857142857143,0.742857142857143,38,3
"152","1842_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Gedichte vermischten Inhalts_Ein Sommertagstraum_Der Denar.txt","1841_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Zeitbilder_An die Weltverbesserer.txt",27.4170405316667,210,263,-0.252380952380952,0.252380952380952,11,1
"153","1842_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Gedichte vermischten Inhalts_Ein Sommertagstraum_Die Erzstufe.txt","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am letzten Tage des Jahres (Silvester).txt",17.2352357675502,354,261,0.35632183908046,0.35632183908046,54,3
