"","source","target","weight","count.source","count.target","count.diff","abs.diff","page.diff"
"1","1871_0000600.txt","1871_0000001.txt",15.6884539343905,300,297,0.0101010101010101,0.0101010101010101,2
"2","1871_0000600.txt","1871_0000300.txt",10.7142121787693,300,300,0,0,1
"3","1871_0000900.txt","1871_0000600.txt",14.4690002120379,300,300,0,0,1
"4","1871_0001200.txt","1871_0000600.txt",10.6565051822997,299,300,-0.00334448160535117,0.00334448160535117,2
"5","1871_0001200.txt","1871_0000001.txt",9.48737674350089,299,297,0.00673400673400673,0.00673400673400673,4
"6","1871_0001500.txt","1871_0000001.txt",23.5597923847855,300,297,0.0101010101010101,0.0101010101010101,5
"7","1871_0001800.txt","1871_0001500.txt",22.5102259210474,300,300,0,0,1
"8","1871_0002100.txt","1871_0001500.txt",21.6970510271881,300,300,0,0,2
"9","1871_0002100.txt","1871_0001800.txt",21.6650407054866,300,300,0,0,1
"10","1871_0002400.txt","1871_0001500.txt",29.7687062502335,300,300,0,0,3
"11","1871_0002400.txt","1871_0002100.txt",26.3954672588483,300,300,0,0,1
"12","1871_0002700.txt","1871_0001500.txt",34.6221648258903,300,300,0,0,4
"13","1871_0002700.txt","1871_0002400.txt",34.0320205567965,300,300,0,0,1
"14","1871_0003000.txt","1871_0002700.txt",15.1387381062521,300,300,0,0,1
"15","1871_0003300.txt","1871_0002400.txt",25.2811326892721,300,300,0,0,3
"16","1871_0003600.txt","1871_0001500.txt",16.6278397545147,299,300,-0.00334448160535117,0.00334448160535117,7
"17","1871_0003900.txt","1871_0002400.txt",23.1054152571968,298,300,-0.00671140939597315,0.00671140939597315,5
"18","1871_0003900.txt","1871_0000300.txt",22.777522918705,298,300,-0.00671140939597315,0.00671140939597315,12
"19","1871_0004200.txt","1871_0001500.txt",25.209784557741,300,300,0,0,9
"20","1871_0004500.txt","1871_0002400.txt",26.6615844357373,300,300,0,0,7
"21","1871_0004800.txt","1871_0004500.txt",15.6756822062537,300,300,0,0,1
"22","1871_0004800.txt","1871_0001500.txt",14.9974679502308,300,300,0,0,11
"23","1871_0005100.txt","1871_0001500.txt",20.3753559172286,299,300,-0.00334448160535117,0.00334448160535117,12
"24","1871_0005100.txt","1871_0004200.txt",20.0755856852711,299,300,-0.00334448160535117,0.00334448160535117,3
"25","1871_0005400.txt","1871_0002700.txt",32.9417963073955,300,300,0,0,9
"26","1871_0005400.txt","1871_0001800.txt",31.916583301538,300,300,0,0,12
"27","1871_0005700.txt","1871_0005400.txt",15.9736532807178,300,300,0,0,1
"28","1871_0006000.txt","1871_0005100.txt",21.4337460640796,300,299,0.00334448160535117,0.00334448160535117,3
"29","1871_0006300.txt","1871_0006000.txt",22.8223174341448,300,300,0,0,1
"30","1871_0006300.txt","1871_0005400.txt",20.4807877581368,300,300,0,0,3
"31","1871_0006600.txt","1871_0004200.txt",12.0763173979113,300,300,0,0,8
"32","1871_0006600.txt","1871_0005100.txt",11.2704871066157,300,299,0.00334448160535117,0.00334448160535117,5
"33","1871_0006900.txt","1871_0002400.txt",15.3064845615542,300,300,0,0,15
"34","1871_0007200.txt","1871_0006300.txt",13.5324348980185,300,300,0,0,3
"35","1871_0007500.txt","1871_0005400.txt",10.8028304034296,300,300,0,0,7
"36","1871_0007800.txt","1871_0006000.txt",15.1736435209535,300,300,0,0,6
"37","1871_0007800.txt","1871_0005400.txt",13.4864661889707,300,300,0,0,8
"38","1871_0008100.txt","1871_0001800.txt",23.3346364915645,300,300,0,0,21
"39","1871_0008400.txt","1871_0005400.txt",19.3173051721243,300,300,0,0,10
"40","1871_0008400.txt","1871_0002400.txt",17.5619361707516,300,300,0,0,20
"41","1871_0008700.txt","1871_0005400.txt",19.1881498650635,300,300,0,0,11
"42","1871_0009000.txt","1871_0004200.txt",26.1564980225038,300,300,0,0,16
"43","1871_0009300.txt","1871_0003900.txt",21.7304921105442,300,298,0.00671140939597315,0.00671140939597315,18
"44","1871_0009300.txt","1871_0001800.txt",18.7825567177625,300,300,0,0,25
"45","1871_0009600.txt","1871_0004800.txt",11.6763351301111,300,300,0,0,16
"46","1871_0009600.txt","1871_0002400.txt",10.4504421753461,300,300,0,0,24
"47","1871_0009900.txt","1871_0004200.txt",23.6923086768112,300,300,0,0,19
"48","1871_0010200.txt","1871_0002100.txt",24.903793240855,299,300,-0.00334448160535117,0.00334448160535117,27
"49","1871_0010500.txt","1871_0008700.txt",12.6194683642296,300,300,0,0,6
"50","1871_0010500.txt","1871_0001500.txt",12.3686310218351,300,300,0,0,30
"51","1871_0010800.txt","1871_0004200.txt",15.5449077687843,300,300,0,0,22
"52","1871_0011100.txt","1871_0004500.txt",17.2410815254927,300,300,0,0,22
