"","X","source","target","weight","count.source","count.target","count.diff","abs.diff","page.diff","roll.mean"
"140",140,"1881_0029100.txt","1881_0001500.txt",19.5446455010864,300,300,0,0,92,22.1
"141",141,"1881_0029400.txt","1881_0028500.txt",28.3893063264686,300,300,0,0,3,20.2
"142",142,"1881_0029700.txt","1881_0028500.txt",32.9501033501095,300,300,0,0,4,24.55
"143",143,"1881_0030000.txt","1881_0025500.txt",36.6428303944025,300,300,0,0,15,26.75
"144",144,"1881_0030300.txt","1881_0028800.txt",22.2044967827967,299,300,-0.00334448160535117,0.00334448160535117,5,28.9
"146",146,"1881_0030600.txt","1881_0011700.txt",18.54577773196,300,300,0,0,63,31.35
"147",147,"1881_0030900.txt","1881_0004200.txt",11.7277619127807,300,300,0,0,89,31.8
"148",148,"1881_0031200.txt","1881_0030900.txt",14.4063680025286,300,300,0,0,1,33.2
"149",149,"1881_0031500.txt","1881_0019500.txt",17.8875347945599,300,300,0,0,40,35.55
"150",150,"1881_0031800.txt","1881_0031500.txt",10.2911921888206,300,300,0,0,1,40.15
"152",152,"1881_0032100.txt","1881_0031500.txt",10.7149722074231,300,300,0,0,2,36.4
"153",153,"1881_0032400.txt","1881_0020400.txt",10.4382266240684,300,300,0,0,40,39.05
"154",154,"1881_0032700.txt","1881_0003900.txt",17.7184057458476,299,300,-0.00334448160535117,0.00334448160535117,96,38.9
"156",156,"1881_0033000.txt","1881_0018600.txt",24.2393801990803,300,300,0,0,48,38.2
"157",157,"1881_0033300.txt","1881_0018600.txt",28.2966161453061,300,300,0,0,49,39.4
"158",158,"1881_0033600.txt","1881_0016200.txt",30.5082405259055,300,300,0,0,58,36.4
"160",160,"1881_0033900.txt","1881_0028800.txt",33.5857673944996,300,300,0,0,17,32.1
"161",161,"1881_0034200.txt","1881_0025500.txt",20.3751879598731,300,300,0,0,29,35.05
"163",163,"1881_0034500.txt","1881_0018600.txt",21.5542548749945,300,300,0,0,53,36.1
"164",164,"1881_0034800.txt","1881_0005400.txt",28.8189656161545,300,300,0,0,98,36.15
"166",166,"1881_0035100.txt","1881_0030000.txt",21.8878637446687,300,300,0,0,17,36.1
"168",168,"1881_0035400.txt","1881_0018600.txt",25.3937087437837,299,300,-0.00334448160535117,0.00334448160535117,56,40.25
"170",170,"1881_0035700.txt","1881_0035400.txt",32.6416193048958,300,299,0.00334448160535117,0.00334448160535117,1,37.25
"171",171,"1881_0036000.txt","1881_0035700.txt",40.4774066557609,300,300,0,0,1,36.6
"172",172,"1881_0036300.txt","1881_0027600.txt",31.9792797740935,300,300,0,0,29,39.95
"173",173,"1881_0036600.txt","1881_0035700.txt",43.3071839805273,300,300,0,0,3,39.25
"175",175,"1881_0036900.txt","1881_0036000.txt",41.9399828426743,300,300,0,0,3,41.65
"176",176,"1881_0037200.txt","1881_0019200.txt",27.6173848805271,299,300,-0.00334448160535117,0.00334448160535117,60,45.4
"177",177,"1881_0037500.txt","1881_0019200.txt",32.6955669219582,300,300,0,0,61,45.5
"179",179,"1881_0037800.txt","1881_0037200.txt",26.3400807028268,300,299,0.00334448160535117,0.00334448160535117,2,43.85
"181",181,"1881_0038100.txt","1881_0037800.txt",35.6173359269818,299,300,-0.00334448160535117,0.00334448160535117,1,43.2
"182",182,"1881_0038400.txt","1881_0001500.txt",17.0423283985974,300,300,0,0,123,42.55
"183",183,"1881_0038700.txt","1881_0027900.txt",14.9072370942132,300,300,0,0,36,42.55
"184",184,"1881_0039000.txt","1881_0028500.txt",15.0419645077515,300,300,0,0,35,45.35
"185",185,"1881_0039300.txt","1881_0004500.txt",15.2598201377172,300,300,0,0,116,47.25
"186",186,"1881_0039600.txt","1881_0026400.txt",23.3338795158784,299,300,-0.00334448160535117,0.00334448160535117,44,49.9
"187",187,"1881_0039900.txt","1881_0020400.txt",25.1309432565464,300,300,0,0,65,55.9
"189",189,"1881_0040200.txt","1881_0009000.txt",15.8900017842858,300,300,0,0,104,58.8
"191",191,"1881_0040500.txt","1881_0024000.txt",18.2617611187193,300,300,0,0,55,62.3
"192",192,"1881_0040800.txt","1881_0021300.txt",24.8254758903773,300,300,0,0,65,64.5
"193",193,"1881_0041100.txt","1881_0039900.txt",28.7400608308736,300,300,0,0,4,66.8
"194",194,"1881_0041400.txt","1881_0028500.txt",25.2892625836963,300,300,0,0,43,67.85
"196",196,"1881_0041700.txt","1881_0041400.txt",19.9717916964698,299,300,-0.00334448160535117,0.00334448160535117,1,66.15
"197",197,"1881_0042000.txt","1881_0024900.txt",12.7063835083178,300,300,0,0,57,68.85
"198",198,"1881_0042300.txt","1881_0022200.txt",14.3044447783648,300,300,0,0,67,65.65
