word,count.a,count.b,med.a,med.b,p,diff
lap,192,75,4.34619451168566e-05,0,3.81397529238608e-09,4.34619451168566e-05
ardent,146,127,4.32399869226832e-05,0,0.0014185043,4.32399869226832e-05
kneel,135,167,4.28663515352357e-05,0,0.0023736484,4.28663515352357e-05
ray,177,107,4.27758755946054e-05,0,3.12454952891962e-06,4.27758755946054e-05
warmth,137,133,4.26733831725735e-05,0,0.0053516322,4.26733831725735e-05
consol,274,283,0.0001035134,6.10964668008059e-05,0.002841599,4.24169570099857e-05
shrink,145,98,4.1756794689842e-05,0,0.0010219278,4.1756794689842e-05
tend,104,120,4.12726069056453e-05,0,0.0027236465,4.12726069056453e-05
bedsid,146,71,4.09318467941665e-05,0,3.34215404626731e-08,4.09318467941665e-05
vagu,148,142,4.03976332824709e-05,0,0.004112034,4.03976332824709e-05
librari,252,158,3.99872556415075e-05,0,1.81269201789159e-05,3.99872556415075e-05
puzzl,126,143,3.99496844703141e-05,0,0.0079415632,3.99496844703141e-05
knelt,132,102,3.98146766347425e-05,0,1.74184157743115e-07,3.98146766347425e-05
dissip,117,65,3.9441041247295e-05,0,1.07721990100918e-07,3.9441041247295e-05
sofa,219,139,3.85407507863476e-05,0,1.22714971859493e-07,3.85407507863476e-05
crimson,127,96,3.70541948574352e-05,0,2.84937196389384e-06,3.70541948574352e-05
exquisit,122,103,3.59679005929404e-05,0,0.0001104832,3.59679005929404e-05
brighten,105,112,3.57692967829826e-05,0,7.22337302559542e-05,3.57692967829826e-05
infinit,135,127,3.51472492670884e-05,0,0.0033966818,3.51472492670884e-05
displeas,126,60,3.44610171666001e-05,0,3.47441754813981e-07,3.44610171666001e-05
divid,115,129,3.42784912361111e-05,0,0.0099334599,3.42784912361111e-05
tranquil,180,89,3.41837030414323e-05,0,8.88616821953777e-07,3.41837030414323e-05
abstract,126,130,3.3552926966236e-05,0,0.0049709983,3.3552926966236e-05
desol,166,107,3.32858613179997e-05,0,1.41224664622229e-05,3.32858613179997e-05
envi,116,99,3.32858613179997e-05,0,0.0025969087,3.32858613179997e-05
bath,172,108,3.16685415129934e-05,0,0.000425807,3.16685415129934e-05
autumn,110,86,3.11629044599621e-05,0,6.90610116556912e-06,3.11629044599621e-05
disord,108,109,3.01993582343059e-05,0,0.0001476715,3.01993582343059e-05
childhood,143,88,2.82385220631371e-05,0,1.5119569977459e-05,2.82385220631371e-05
bonnet,251,119,2.68313770818658e-05,0,3.97205240749418e-08,2.68313770818658e-05
lone,185,149,2.65540629566981e-05,0,0.0060485561,2.65540629566981e-05
throb,145,127,1.97343598765449e-05,0,0.0008578745,1.97343598765449e-05
scream,150,139,1.85329330219801e-05,0,0.0059627427,1.85329330219801e-05
neat,131,123,1.77122816961281e-05,0,0.0009690681,1.77122816961281e-05
subsid,117,110,1.77122816961281e-05,0,0.0092199193,1.77122816961281e-05
helpless,143,130,1.76660675446328e-05,0,0.0015819237,1.76660675446328e-05
wed,159,126,1.6748735470472e-05,0,0.0004506852,1.6748735470472e-05
widow,248,252,1.65789984069985e-05,0,0.0073111968,1.65789984069985e-05
mortifi,149,88,1.3450622763834e-05,0,3.48284250945651e-05,1.3450622763834e-05
persuas,109,83,1.3450622763834e-05,0,0.0002557328,1.3450622763834e-05
ach,122,55,1.02061645233721e-05,0,1.38542395090926e-09,1.02061645233721e-05
daylight,80,76,9.11909538573774e-06,0,0.0002407387,9.11909538573774e-06
happier,117,77,9.11909538573774e-06,0,1.26912107197443e-05,9.11909538573774e-06
silk,134,94,7.45990302126072e-06,0,3.01602447535199e-05,7.45990302126072e-06
