"","word","word1","word2","fish.odds","fish.p","G2"
"570","harry",22,418,1.92929859078577,0.00666062405085792,7.45953687345496
"1012","rose",42,807,1.90812749409502,0.000159654985895866,13.8106195003864
"832","night",56,1087,1.88905609968163,1.89531805327272e-05,17.8986869575447
"350","early",22,429,1.87985083772352,0.00742640568049771,6.9374438866493
"727","looked",294,6003,1.79926238877109,1.86672122824704e-19,81.1262386742988
"1302","usual",29,594,1.78968666948383,0.00388953437663789,7.89695130387412
"31","air",38,784,1.77691142618536,0.00146950835138272,10.11609336844
"558","half",50,1033,1.77463963957365,0.000209377646617533,13.2547835221871
"264","cousin",22,459,1.75691245417707,0.0147947340123857,5.64963980404981
"392","evening",42,884,1.74182753389344,0.000984073935008315,10.4839738694807
"699","lena",24,529,1.66300806606214,0.0230431637508689,5.10848066802106
"689","lay",28,625,1.6422046896327,0.0142711036662536,5.69103674728144
"519","glance",25,561,1.63348787190964,0.020310225164908,4.98149391312084
"560","hand",99,2223,1.63330508252151,7.54886631920433e-06,19.6987173124344
"488","from",467,10594,1.62095154710037,2.65204213669597e-21,89.8345823174875
"1295","until",32,725,1.61797053393409,0.0121548728153356,6.14883335867603
"1013","round",46,1059,1.59242521903208,0.00351497930705505,8.30458433448125
"1057","seen",146,3380,1.58464246672774,3.26733982199858e-07,25.8108034655832
"1249","till",58,1344,1.58219396185692,0.00114697293719628,10.202270804532
"412","eye",42,975,1.57916435848814,0.00600352201152321,7.33238435127269
"1097","sight",28,658,1.55980516534573,0.0311674345078712,4.64717420088103
"1222","the",4358,106816,1.53910771400386,2.01087445143754e-141,641.066781101692
"609","hour",32,763,1.53734613879612,0.0203639873694129,4.99318112813693
"193","came",98,2363,1.52086023335475,0.00012199545717587,14.5715726686736
"1226","then",171,4209,1.49048990204854,1.46809577760808e-06,23.1640549251447
"532","going",46,1149,1.46761459508659,0.0146654530639179,5.7969177673989
"643","its",98,2453,1.46499557901316,0.000425677201526208,12.2330652145458
"286","days",34,866,1.43913336507856,0.0475943243899131,3.883365305005
"635","into",174,4579,1.39391041333965,3.84200840975995e-05,16.6780200084059
"103","back",80,2110,1.3901029485677,0.00515898054325714,7.55963789952677
"126","before",144,4035,1.30875384005255,0.00237037065081226,9.25184791967043
"1297","upon",206,5821,1.29812607615428,0.000406565049444603,12.4664752931489
"1170","still",72,2051,1.28694634785511,0.0423019038122535,4.09334365977051
"46","an",223,6460,1.26624036502584,0.00078920626664934,11.1327433504009
"24","after",94,2742,1.25683885600971,0.0350778348035449,4.42103622198401
"1037","saw",229,6733,1.24755279761343,0.0014875970960019,10.0856689496008
"87","at",561,17166,1.1998186532764,3.98990068343712e-05,16.8838161788992
"718","little",155,4770,1.19145836605848,0.0368616711823602,4.3529505180165
"1353","when",328,10438,1.15258382612903,0.0126109711821458,6.10229190579372
"859","on",363,11773,1.13089987487298,0.0234583020342252,5.09673372449201
