"","source","target","weight","count.source","count.target","count.diff","abs.diff","date.diff"
"83","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am neunten Sonntage nach Pfingsten.txt","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am dritten Sonntage im Advent.txt",33.2904247221988,344,348,-0.0116279069767442,0.0116279069767442,0
"84","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am neunzehnten Sonntage nach Pfingsten.txt","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am ersten Sonntage nach Pfingsten (Dreifaltigkeit).txt",35.6412599989331,351,270,0.3,0.3,0
"85","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am neunzehnten Sonntage nach Pfingsten.txt","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am ersten Sonntage nach hl. drei Könige.txt",35.582618737282,351,374,-0.0655270655270655,0.0655270655270655,20
"86","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Ostermontage.txt","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am vierten Sonntage in der Fasten (Josefsfest).txt",49.6129370987465,425,311,0.366559485530547,0.366559485530547,20
"87","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Pfingstmontage.txt","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Fronleichnamstage.txt",41.5434709231472,305,248,0.229838709677419,0.229838709677419,0
"88","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Pfingstsonntage.txt","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am letzten Tage des Jahres (Silvester).txt",38.7884459094256,263,261,0.00766283524904215,0.00766283524904215,0
"89","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am sechsten Sonntage nach Ostern.txt","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am vierten Sonntage nach hl. drei Könige.txt",36.1425171799191,230,270,-0.173913043478261,0.173913043478261,20
"90","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am sechsten Sonntage nach Pfingsten.txt","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am neunzehnten Sonntage nach Pfingsten.txt",42.5642987802068,376,351,0.0712250712250712,0.0712250712250712,0
"91","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am sechsundzwanzigsten Sonntage nach Pfingsten.txt","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am neunzehnten Sonntage nach Pfingsten.txt",24.0757046240261,460,351,0.310541310541311,0.310541310541311,0
"92","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am sechtzehnten Sonntage nach Pfingsten.txt","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am achten Sonntage nach Pfingsten.txt",31.6880170805858,425,347,0.22478386167147,0.22478386167147,0
