authors,Freq
"Ormond, Leonée, p. 131-54. Vernon Lee's novel, Miss Brown (1884), is a satire on the esthetic movement, which she had observed with growing distaste on three visits to London in 1881, 1882, and 1883. Miss Brown is a roman à clef, attacking well-known esthetic idols like D. G. Rossetti, whom Vernon Lee knew only from his work, and Mrs. William Morris, with whom she was actually acquainted. The novel also contains portraits of members of the rather less illustrious esthetic circle centered on Fitzroy Square and Bloomsbury to whom Vernon Lee was introduced by Mary Robinson. Many of her victims were understandably hostile to her after publication. The novel is perhaps most interesting for its detailed descriptions of esthetic interiors and clothes, sometimes closely linked with passages in Vernon Lee's letters home to Italy. Miss Brown reveals Vernon Lee's state of mind, above all her hatred of physical passion and sensuality, and shows a change in her philosophy of art. The idealized ""art for art's sake"" credo of her previous work, Belcaro, failed to survive her closer contact with the kind of amoral art she had previously championed. / Ormond, Richard, p. 154-78. Sargent's friendship with Vernon Lee began in Nice in the mid-1869's, when they were both children, and was cemented by a memorable winter in Rome (1868-69) when they explored the city together. Although they met rarely thereafter until 1881, their friendship was maintained by correspondence. Sargent's side, which survives, throws a considerable light on his early career as a painter; Vernon Lee's references to Sargent in her letters home supplement his. They met regularly in Paris and London during the 1880's, moving in the same avant-garde circles. Though they never regained their childhood intimacy, they remained firm friends. Their letters (here reproduced fully or in excerpt) provide insights into their developing ideas and attitudes. They also contain important biographical information which helps to illumine Sargent's early struggles as an artist and Vernon Lee's first endeavors as a writer. / Cary, Richard, p. 179-200. As an adolescent Vernon Lee displayed appetence for the devastating caricature, limning older friends and acquaintances with quick, cruel, prussic lines. Her talent in this unlovely art came of age in her twenty-fifth year (1881), when she arrived in London and took a place in the circuit of teas, garden parties, salons, and gallery meetings which included most of the important figures in British arts and literature of the day. Ambition, egoism, and a wish to entertain her mother and half-brother motivated this compulsion to create brusque and biased cameos. From the collection of her letters in Colby College are extracted representative specimens of her ruthless portrayals, often amusing, more often vindictive. Among those who fell to her pen are Thomas H. Huxley, Anne Isabella Ritchie (Thackeray's daughter), Justin McCarthy the younger, George Moore, William Morris, the Rossettis, William Sharp, Theodore Watts-Dunton, Leslie Stephen, Alfred Austin, Edmund Gosse, Mrs. Humphry Ward, Paul Bourget, and Gabriele D'Annunzio. Shaw, Wilde, and H. G. Wells escape with easier tweaks, while Swinburne, Stevenson, and Pater are treated with something like affection. The only two to command unalloyed respect, allowing a gentle gibe by the way, are Robert Browning and Henry James.",1
"Ostrovskiĭ, Aleksandr Nikolaevich (1823-1886)",1
Oswald von Wolkenstein (1377-1445),1
"Page, Thomas Nelson (1853-1922)",1
"Pardo Bazán, Emilia (1852-1921)",1
"Parkman, Francis (1823-1893)",1
"Parnell, Thomas (1679-1718)",1
"Parrington, Vernon Louis (1871-1929)",1
"Pater, Walter Horatio (1839-1894)",1
"Paterson (1946-51, enl. 1958)",1
