"source","target","weight","type"
"feel","minneapoli",1,"undirected"
"look","minneapoli",1,"undirected"
"see","nuisanc",1,"undirected"
"feel","nuisanc",1,"undirected"
"see","outsid",201,"undirected"
"feel","outsid",87,"undirected"
"think","outsid",111,"undirected"
"look","outsid",167,"undirected"
"mind","outsid",30,"undirected"
"see","sit",211,"undirected"
"feel","sit",120,"undirected"
"think","sit",140,"undirected"
"look","sit",254,"undirected"
"mind","sit",19,"undirected"
"see","street",154,"undirected"
"feel","street",32,"undirected"
"think","street",79,"undirected"
"look","street",118,"undirected"
"mind","street",12,"undirected"
"see","surveil",3,"undirected"
"feel","surveil",3,"undirected"
"think","surveil",4,"undirected"
"look","surveil",7,"undirected"
"mind","surveil",1,"undirected"
"see","trace",25,"undirected"
"feel","trace",21,"undirected"
"think","trace",15,"undirected"
"look","trace",36,"undirected"
"mind","trace",6,"undirected"
"see","worri",110,"undirected"
"feel","worri",87,"undirected"
"think","worri",131,"undirected"
"look","worri",134,"undirected"
"mind","worri",27,"undirected"
"see","imagin",123,"undirected"
"feel","imagin",96,"undirected"
"think","imagin",136,"undirected"
"look","imagin",127,"undirected"
"mind","imagin",35,"undirected"
"see","kind",159,"undirected"
"feel","kind",117,"undirected"
"think","kind",175,"undirected"
"look","kind",160,"undirected"
"mind","kind",24,"undirected"
"see","peopl",361,"undirected"
"feel","peopl",204,"undirected"
"think","peopl",361,"undirected"
"look","peopl",309,"undirected"
"mind","peopl",57,"undirected"
"see","seen",371,"undirected"
"feel","seen",120,"undirected"
"think","seen",245,"undirected"
"look","seen",348,"undirected"
"mind","seen",40,"undirected"
"see","attempt",49,"undirected"
"feel","attempt",24,"undirected"
"think","attempt",54,"undirected"
"look","attempt",36,"undirected"
"mind","attempt",7,"undirected"
"see","despair",12,"undirected"
"feel","despair",21,"undirected"
"think","despair",23,"undirected"
"look","despair",9,"undirected"
"mind","despair",6,"undirected"
"see","determin",27,"undirected"
"feel","determin",8,"undirected"
"think","determin",22,"undirected"
"look","determin",37,"undirected"
"mind","determin",10,"undirected"
"feel","dustbleach",1,"undirected"
"see","enough",330,"undirected"
"feel","enough",182,"undirected"
"think","enough",252,"undirected"
"look","enough",231,"undirected"
"mind","enough",43,"undirected"
"see","even",706,"undirected"
"feel","even",567,"undirected"
"think","even",701,"undirected"
"look","even",630,"undirected"
"mind","even",153,"undirected"
"see","gaze",178,"undirected"
"feel","gaze",108,"undirected"
"think","gaze",112,"undirected"
"look","gaze",265,"undirected"
"mind","gaze",35,"undirected"
"feel","mecca",1,"undirected"
"look","mecca",1,"undirected"
"see","obvious",56,"undirected"
"feel","obvious",42,"undirected"
"think","obvious",58,"undirected"
"look","obvious",81,"undirected"
"mind","obvious",11,"undirected"
"see","re",238,"undirected"
"feel","re",155,"undirected"
"think","re",364,"undirected"
"look","re",414,"undirected"
"mind","re",37,"undirected"
"see","trip",35,"undirected"
"feel","trip",19,"undirected"
"think","trip",36,"undirected"
"look","trip",33,"undirected"
"mind","trip",6,"undirected"
"see","understood",66,"undirected"
"feel","understood",59,"undirected"
"think","understood",86,"undirected"
"look","understood",63,"undirected"
"mind","understood",15,"undirected"
"see","us",234,"undirected"
"feel","us",82,"undirected"
"think","us",260,"undirected"
"look","us",266,"undirected"
"mind","us",25,"undirected"
