file.id,mean.char,sd.char,collection
37610_MorganEdwin_AManifesto_1920.txt,5.2543859649,2.735578124,hp
57528_PlumppSterling_TooMuchToRead_1940.txt,4.4955752212,2.4316510184,hp
35941_MerriamEve_ACTIONTOTAKEIFYOUAREAVICTIM_1916.txt,4.9449541284,2.6591382006,hp
36204_BellMartin_SeniliosBroadcastScript_1918.txt,5.0366972477,2.4792718671,hp
18696_RodkerJohn_WildWestRemittanceMan_1894.txt,4.9636363636,2.322318016,hp
46800_HughesTed_ExaminationattheWombdoor_1930.txt,5.0363636364,2.5047744235,hp
47970_HughesTed_ExaminationattheWombdoor_1930.txt,5.0363636364,2.5047744235,hp
48333_HughesTed_ExaminationattheWombDoor_1930.txt,5.0363636364,2.5047744235,hp
70392_SamarasNicholas_Translation_1954.txt,4.3,2.244463116,hp
67681_WaringBelle_ChildrenMustHaveManners_1951.txt,4.0550458716,1.7311677839,hp
31676_RukeyserMuriel_DoyouknowHitlerDoeshelikeyou_1913.txt,3.7798165138,1.8426922643,hp
57616_PlumppSterling_PORTABLESOULEXPLOSION_1940.txt,5.0454545455,2.4732935499,hp
71205_McMillanIan_TheMakingoftheEnglishWorkingClass_1956.txt,4.4485981308,1.7387571188,hp
57537_PlumppSterling_BoneBeat_1940.txt,4.6,2.3441308613,hp
32902_IgnatowDavid_TWOVOICES_1914.txt,4.2037037037,2.3551862012,hp
45278_FeldmanIrving_THEPROPHET_1928.txt,3.9545454545,1.7261420293,hp
45421_FeldmanIrving_THEPROPHET_1928.txt,3.9727272727,1.7476542124,hp
66118_AllnuttGillian_Table_1949.txt,4.6296296296,2.6601686145,hp
67654_JacksonAngela_TheItsyBitsySpiderClimbsandAnalyzes_1951.txt,4.8640776699,2.4893835117,hp
37947_MorganEdwin_KUROSAWA_1920.txt,4.9814814815,1.5099760565,hp
66824_GallasJohn_Samarkand_1950.txt,4.9423076923,2.11250058,hp
49192_MitchellAdrian_Yes_1932.txt,4.1509433962,1.7446104918,hp
58864_PeckJohn_Assisi_1941.txt,4.8301886792,1.9541004415,hp
8605_LindsayVachel_THEHAUGHTYSNAILKINGWhatUncleWilliamToldtheChildren_1879.txt,4.2718446602,2.1565866947,hp
73021_MaxwellGlyn_Select_1962.txt,4.2476190476,2.4368207234,hp
43468_CreeleyRobert_Please_1926.txt,3.8529411765,1.9820834065,hp
72575_KayJackie_Inside_1961.txt,4.1875,1.7369816531,hp
57678_BarnettAnthony_TURBULENCEANDTONGUE_1941.txt,4.786407767,3.0410604621,hp
28623_PatchenKenneth_TheSlums_1911.txt,3.84375,1.8141439913,hp
67647_JacksonAngela_SexualHarassment_1951.txt,4.0490196078,2.3181481641,hp
74950_McCombsDavis_Kentucky_1969.txt,4.42,2.2119053444,hp
40790_HolubMiroslav_TheMinotaursloneliness_1923.txt,4.4949494949,2.0769568465,hp
52413_BarakaImamuAmiri_CROWJANETHECROOK_1934.txt,4.0396039604,1.9794988865,hp
52626_BarakaImamuAmiri_CrowJanetheCrook_1934.txt,4.0396039604,1.9794988865,hp
65111_CarsonCiaran_Siege_1948.txt,4.8958333333,2.4856606309,hp
74986_HillTobias_NewVersesforClockCityMagpies_1970.txt,4.752688172,2.2633944976,hp
74067_KinsellaJohn_ChilliCatharsis_1963.txt,4.5729166667,2.1944657264,hp
71297_McMillanIan_TheOwlBrandRangeofEmbarrassmentLotions_1956.txt,4.3571428571,2.1693744645,hp
67494_WeaverAfaaMAfaaMichael_Parade_1951.txt,4.693877551,1.9709653465,hp
71169_McMillanIan_TheChristmasTreesPressConference_1956.txt,3.9361702128,1.7401551694,hp
8201_MasefieldJohn_THEWILDDUCK_1878.txt,3.75,1.6222142113,hp
35625_MerriamEve_Beat_1916.txt,3.412371134,1.8805616256,hp
35614_MerriamEve_NonrecognitionofChina_1916.txt,4.1935483871,2.023009298,hp
67584_JacksonAngela_SongoftheWriterWoman_1951.txt,4.4680851064,2.2466324987,hp
49509_MitchellAdrian_LoveForTony_1932.txt,4.9456521739,2.139960616,hp
37963_MorganEdwin_Paintoknow_1920.txt,3.8421052632,1.7522981231,hp
57491_PlumppSterling_KokoTaylor_1940.txt,4.5568181818,2.4347010227,hp
57557_PlumppSterling_MusicCalling_1940.txt,4.3908045977,2.201248704,hp
54736_JordanJune_TheBeirutJokebook_1936.txt,4.3368421053,2.4866046504,hp
21581_TessimondASJArthurSeymourJohn_Invitationtothedance_1902.txt,4.5319148936,1.7208532996,hp
66117_AllnuttGillian_Rain_1949.txt,4.8586956522,2.4520972039,hp
54434_SanchezSonia_LastPoemImGonnaWriteBoutUs_1935.txt,3.7608695652,2.5131284528,hp
72576_KayJackie_ChinaCup_1961.txt,4.1505376344,1.7504424072,hp
18654_RodkerJohn_TwilightI_1894.txt,4.8279569892,2.2680371513,hp
58175_BarnettAnthony_ANTIBEAUTY_1941.txt,4.7741935484,2.4896701032,hp
69061_MinhinnickRobert_AirLoungeHaikuNEWARK_1952.txt,4.9565217391,2.247895443,hp
52410_BarakaImamuAmiri_FORCROWJANE_1934.txt,4.4888888889,1.9673997237,hp
52623_BarakaImamuAmiri_ForCrowJaneMamaDeath_1934.txt,4.4886363636,1.9884396828,hp
37451_EnrightDJDennisJoseph_Moneytalks_1920.txt,4.4555555556,2.6738900296,hp
73934_KinsellaJohn_Eschatology_1963.txt,5.0581395349,2.4319183963,hp
57463_PlumppSterling_InheritedBlues_1940.txt,4.858974359,3.0353944906,hp
4758_CraneStephen_TherewasoneImetupontheroad_1871.txt,3.202247191,1.4937732522,hp
27669_OlsonCharles_IntheinterleavedAlmanacksforandofDanforth_1910.txt,4.6588235294,2.1355992868,hp
18646_RodkerJohn_VibroMassage_1894.txt,4.7471264368,1.9896148441,hp
66067_AllnuttGillian_ThomasEckland_1949.txt,4.2195121951,2.1603862837,hp
56006_SimicCharles_TOYFACTORY_1938.txt,4.2317073171,2.0625932406,hp
34258_NicholsonNorman_TheySaid_1914.txt,3.6829268293,1.2946046518,hp
64362_SalaamKalamuya_NATURALMODELS_1947.txt,4.6582278481,1.966945282,hp
52412_BarakaImamuAmiri_CROWJANEINHIGHSOCIETY_1934.txt,4.2619047619,2.0948534044,hp
52625_BarakaImamuAmiri_CrowJaneinHighSociety_1934.txt,4.2619047619,2.0948534044,hp
52411_BarakaImamuAmiri_CROWJANESMANNER_1934.txt,4.256097561,1.7554920917,hp
52624_BarakaImamuAmiri_CrowJanesManner_1934.txt,4.256097561,1.7554920917,hp
47771_HughesTed_Mole_1930.txt,3.4567901235,1.7891994209,hp
38480_CarruthHayden_HowLewisburgPaEscapedtheAvengingAngel_1921.txt,4.15,2.365896945,hp
38643_CarruthHayden_HowLewisburgPaEscapedtheAvengingAngel_1921.txt,4.15,2.365896945,hp
34589_StaffordWilliam_WhatsinMyJournal_1914.txt,5.1481481481,2.4855135843,hp
73859_KinsellaJohn_TheShapeofThingstoCome_1963.txt,4.8271604938,2.7193295288,hp
46846_HughesTed_FragmentofanAncientTablet_1930.txt,5.2058823529,2.4891335394,hp
48026_HughesTed_FragmentofanAncientTablet_1930.txt,5.2058823529,2.4891335394,hp
48359_HughesTed_FragmentofanAncientTablet_1930.txt,5.2058823529,2.4891335394,hp
43531_CreeleyRobert_Song_1926.txt,3.7654320988,1.7696864478,hp
66179_FentonJames_BloodandLead_1949.txt,3.65,1.388013789,hp
52384_BarakaImamuAmiri_THEORYOFART_1934.txt,4.7530864198,2.3427060432,hp
35600_MerriamEve_Lovers_1916.txt,3.1,0.9493502108,hp
49417_MitchellAdrian_DivideandRuleforasLongasYouCan_1932.txt,4.975,2.1930557838,hp
70126_EadyCornelius_RodneyKingBlues_1954.txt,4.0410958904,2.0510048768,hp
34644_StaffordWilliam_JustThinking_1914.txt,3.9871794872,1.9102837876,hp
