"","date","means","variable","date.adj"
"total.line21","1889",1.52026960810811,"total.line",1924
"total.words22","1890",161.371647509579,"total.words",1925
"no.lines22","1890",26.2222222222222,"no.lines",1925
"quest22","1890",0.00628832737547893,"quest",1925
"quest.line22","1890",0.0394286063448276,"quest.line",1925
"exclam22","1890",0.00573277631800766,"exclam",1925
"exclam.line22","1890",0.0351430430651341,"exclam.line",1925
"period22","1890",0.0440402317586207,"period",1925
"period.line22","1890",0.272162629310345,"period.line",1925
"comma22","1890",0.0710160023295019,"comma",1925
"comma.line22","1890",0.455127507586207,"comma.line",1925
"total22","1890",0.13473147,"total",1925
"total.line22","1890",0.847521107586207,"total.line",1925
"total.words23","1891",82.344537815126,"total.words",1926
"no.lines23","1891",12.6302521008403,"no.lines",1926
"quest23","1891",0.00304240746218487,"quest",1926
"quest.line23","1891",0.0178029049579832,"quest.line",1926
"exclam23","1891",0.00121223073109244,"exclam",1926
"exclam.line23","1891",0.00840255529411765,"exclam.line",1926
"period23","1891",0.0500665193277311,"period",1926
"period.line23","1891",0.322605894369748,"period.line",1926
"comma23","1891",0.0620253685714286,"comma",1926
"comma.line23","1891",0.407753419495798,"comma.line",1926
"total23","1891",0.12477625,"total",1926
"total.line23","1891",0.812525203361345,"total.line",1926
"total.words24","1892",316.505733252867,"total.words",1927
"no.lines24","1892",46.016898008449,"no.lines",1927
"quest24","1892",0.00546656851382016,"quest",1927
"quest.line24","1892",NA,"quest.line",1927
"exclam24","1892",0.00745892048171394,"exclam",1927
"exclam.line24","1892",NA,"exclam.line",1927
"period24","1892",0.0369764527356669,"period",1927
"period.line24","1892",NA,"period.line",1927
"comma24","1892",0.0684230109059143,"comma",1927
"comma.line24","1892",NA,"comma.line",1927
"total24","1892",0.13301029258962,"total",1927
"total.line24","1892",NA,"total.line",1927
"total.words25","1893",402.494845360825,"total.words",1928
"no.lines25","1893",52.7731958762887,"no.lines",1928
"quest25","1893",0.00548509905154639,"quest",1928
"quest.line25","1893",0.0427276359793814,"quest.line",1928
