LEMMA	PROB
danger	7.343418294457721e-05
crash	7.343418294457721e-05
center	7.343418294457721e-05
blackberry	7.343418294457721e-05
store	7.25997035929343e-05
shape	7.25997035929343e-05
resolve	7.25997035929343e-05
propose	7.25997035929343e-05
process	7.25997035929343e-05
master	7.25997035929343e-05
hover	7.25997035929343e-05
hot	7.25997035929343e-05
height	7.25997035929343e-05
former	7.25997035929343e-05
estate	7.25997035929343e-05
dark	7.25997035929343e-05
brace	7.25997035929343e-05
anxiety	7.25997035929343e-05
yard	7.176522424129138e-05
trot	7.176522424129138e-05
tonight	7.176522424129138e-05
thinking	7.176522424129138e-05
map	7.176522424129138e-05
impress	7.176522424129138e-05
imagination	7.176522424129138e-05
id	7.176522424129138e-05
curious	7.176522424129138e-05
confide	7.176522424129138e-05
bind	7.176522424129138e-05
beauty	7.176522424129138e-05
weak	7.093074488964844e-05
toy	7.093074488964844e-05
talent	7.093074488964844e-05
inspect	7.093074488964844e-05
grave	7.093074488964844e-05
disconnect	7.093074488964844e-05
despise	7.093074488964844e-05
week	7.009626553800553e-05
suv	7.009626553800553e-05
shave	7.009626553800553e-05
pride	7.009626553800553e-05
pleasure	7.009626553800553e-05
pinch	7.009626553800553e-05
mount	7.009626553800553e-05
meal	7.009626553800553e-05
in	7.009626553800553e-05
important	7.009626553800553e-05
hunt	7.009626553800553e-05
holster	7.009626553800553e-05
helmet	7.009626553800553e-05
blind	7.009626553800553e-05
task	6.92617861863626e-05
ship	6.92617861863626e-05
scoff	6.92617861863626e-05
puzzle	6.92617861863626e-05
profile	6.92617861863626e-05
persist	6.92617861863626e-05
headset	6.92617861863626e-05
gulp	6.92617861863626e-05
egg	6.92617861863626e-05
destroy	6.92617861863626e-05
contemplate	6.92617861863626e-05
amaze	6.92617861863626e-05
vest	6.842730683471969e-05
style	6.842730683471969e-05
stomp	6.842730683471969e-05
star	6.842730683471969e-05
split	6.842730683471969e-05
passion	6.842730683471969e-05
measure	6.842730683471969e-05
major	6.842730683471969e-05
maintain	6.842730683471969e-05
fan	6.842730683471969e-05
desperate	6.842730683471969e-05
brief	6.842730683471969e-05
assault	6.842730683471969e-05
undo	6.759282748307676e-05
pursue	6.759282748307676e-05
funny	6.759282748307676e-05
flee	6.759282748307676e-05
everyone	6.759282748307676e-05
cradle	6.759282748307676e-05
bleed	6.759282748307676e-05
bath	6.759282748307676e-05
zip	6.675834813143384e-05
three	6.675834813143384e-05
then	6.675834813143384e-05
term	6.675834813143384e-05
sweat	6.675834813143384e-05
source	6.675834813143384e-05
prod	6.675834813143384e-05
nature	6.675834813143384e-05
language	6.675834813143384e-05
graduate	6.675834813143384e-05
flower	6.675834813143384e-05
fingernail	6.675834813143384e-05
dangerous	6.675834813143384e-05
curiosity	6.675834813143384e-05
binoculars	6.675834813143384e-05
appointment	6.675834813143384e-05
vomit	6.592386877979092e-05
trial	6.592386877979092e-05
sock	6.592386877979092e-05
scribble	6.592386877979092e-05
responsibility	6.592386877979092e-05
passport	6.592386877979092e-05
makeup	6.592386877979092e-05
fond	6.592386877979092e-05
dart	6.592386877979092e-05
bottom	6.592386877979092e-05
again	6.592386877979092e-05
still	6.508938942814799e-05
scrutinize	6.508938942814799e-05
recite	6.508938942814799e-05
punish	6.508938942814799e-05
pressure	6.508938942814799e-05
ought	6.508938942814799e-05
nuzzle	6.508938942814799e-05
marvel	6.508938942814799e-05
lecture	6.508938942814799e-05
inherit	6.508938942814799e-05
hell	6.508938942814799e-05
document	6.508938942814799e-05
design	6.508938942814799e-05
convinced	6.508938942814799e-05
concede	6.508938942814799e-05
collection	6.508938942814799e-05
asset	6.508938942814799e-05
annoy	6.508938942814799e-05
white	6.425491007650507e-05
swivel	6.425491007650507e-05
surroundings	6.425491007650507e-05
string	6.425491007650507e-05
sneak	6.425491007650507e-05
scar	6.425491007650507e-05
ruin	6.425491007650507e-05
prevent	6.425491007650507e-05
ponder	6.425491007650507e-05
pile	6.425491007650507e-05
impressed	6.425491007650507e-05
goal	6.425491007650507e-05
employer	6.425491007650507e-05
cruiser	6.425491007650507e-05
consume	6.425491007650507e-05
consult	6.425491007650507e-05
cat	6.425491007650507e-05
background	6.425491007650507e-05
argument	6.425491007650507e-05
succeed	6.342043072486215e-05
scene	6.342043072486215e-05
quarter	6.342043072486215e-05
personality	6.342043072486215e-05
paw	6.342043072486215e-05
overhear	6.342043072486215e-05
opponent	6.342043072486215e-05
novel	6.342043072486215e-05
motive	6.342043072486215e-05
jab	6.342043072486215e-05
here	6.342043072486215e-05
fact	6.342043072486215e-05
couch	6.342043072486215e-05
both	6.342043072486215e-05
borrow	6.342043072486215e-05
bathroom	6.342043072486215e-05
affect	6.342043072486215e-05
youth	6.258595137321922e-05
whole	6.258595137321922e-05
wedding	6.258595137321922e-05
weave	6.258595137321922e-05
wail	6.258595137321922e-05
van	6.258595137321922e-05
steele	6.258595137321922e-05
pronounce	6.258595137321922e-05
pant	6.258595137321922e-05
pajamas	6.258595137321922e-05
music	6.258595137321922e-05
middle	6.258595137321922e-05
matter	6.258595137321922e-05
down	6.258595137321922e-05
crew	6.258595137321922e-05
calculate	6.258595137321922e-05
bus	6.258595137321922e-05
bedside	6.258595137321922e-05
video	6.17514720215763e-05
trudge	6.17514720215763e-05
tour	6.17514720215763e-05
snag	6.17514720215763e-05
sex	6.17514720215763e-05
outside	6.17514720215763e-05
machine	6.17514720215763e-05
lid	6.17514720215763e-05
identity	6.17514720215763e-05
endure	6.17514720215763e-05
benefit	6.17514720215763e-05
alarm	6.17514720215763e-05
advance	6.17514720215763e-05
visitor	6.091699266993337e-05
torso	6.091699266993337e-05
single	6.091699266993337e-05
scrub	6.091699266993337e-05
routine	6.091699266993337e-05
plug	6.091699266993337e-05
expose	6.091699266993337e-05
drug	6.091699266993337e-05
delighted	6.091699266993337e-05
court	6.091699266993337e-05
clip	6.091699266993337e-05
bore	6.091699266993337e-05
attractive	6.091699266993337e-05
upstairs	6.008251331829045e-05
strain	6.008251331829045e-05
reward	6.008251331829045e-05
rap	6.008251331829045e-05
police	6.008251331829045e-05
location	6.008251331829045e-05
jam	6.008251331829045e-05
ill	6.008251331829045e-05
guilt	6.008251331829045e-05
flank	6.008251331829045e-05
excitement	6.008251331829045e-05
double	6.008251331829045e-05
demeanor	6.008251331829045e-05
coach	6.008251331829045e-05
club	6.008251331829045e-05
as	6.008251331829045e-05
approval	6.008251331829045e-05
access	6.008251331829045e-05
vein	5.924803396664753e-05
unit	5.924803396664753e-05
tool	5.924803396664753e-05
tight	5.924803396664753e-05
tackle	5.924803396664753e-05
staff	5.924803396664753e-05
secure	5.924803396664753e-05
execute	5.924803396664753e-05
compose	5.924803396664753e-05
bodyguard	5.924803396664753e-05
absorb	5.924803396664753e-05
wrench	5.841355461500461e-05
tape	5.841355461500461e-05
soothe	5.841355461500461e-05
sens	5.841355461500461e-05
operate	5.841355461500461e-05
occupy	5.841355461500461e-05
noise	5.841355461500461e-05
loosen	5.841355461500461e-05
insert	5.841355461500461e-05
health	5.841355461500461e-05
handbag	5.841355461500461e-05
famous	5.841355461500461e-05
descend	5.841355461500461e-05
deep	5.841355461500461e-05
