X,segment,ttr,ant1,ant2,syn1,syn2,ant.syn1,ant.syn2
108,54000,0.5838383838,0.0001779002,0.0412573674,0.000881766,0.1944990177,0.201754386,0.2121212121
109,54500,0.5774058577,0.000247505,0.0718562874,0.0013333333,0.2355289421,0.1856287425,0.3050847458
110,55000,0.58125,0.0001054715,0.0382293763,0.0011358473,0.2233400402,0.0928571429,0.1711711712
111,55500,0.6265060241,0.0001948999,0.0433925049,0.0008029874,0.1439842209,0.2427184466,0.301369863
112,56000,0.6285140562,0.0001017493,0.0375494071,0.0007748601,0.1818181818,0.1313131313,0.2065217391
113,56500,0.6096579477,0.0001841833,0.0547945205,0.0009209163,0.1702544031,0.2,0.3218390805
114,57000,0.6598360656,0.000292075,0.0724346076,0.0010466022,0.2233400402,0.2790697674,0.3243243243
115,57500,0.6024340771,0.0001878449,0.0632411067,0.0012914335,0.2391304348,0.1454545455,0.2644628099
116,58000,0.5991902834,9.97659337708e-05,0.0391389432,0.0008288247,0.1859099804,0.1203703704,0.2105263158
117,58500,0.6085192698,0.0002603427,0.0833333333,0.0011518192,0.2361111111,0.2260273973,0.3529411765
118,59000,0.6618852459,0.0003777583,0.0668016194,0.0006569709,0.1659919028,0.575,0.4024390244
119,59500,0.633401222,0.0002296975,0.0675944334,0.0010059167,0.2027833002,0.2283464567,0.3333333333
120,60000,0.6740890688,0.0002407243,0.062992126,0.0008774791,0.1692913386,0.2743362832,0.3720930233
121,60500,0.5975103734,0.0004106068,0.0809716599,0.0009608199,0.1801619433,0.4273504274,0.4494382022
122,61000,0.6585858586,0.0003572039,0.0688976378,0.000823122,0.2381889764,0.4339622642,0.2892561983
123,61500,0.652,0.000232959,0.0492125984,0.0006833465,0.1712598425,0.3409090909,0.2873563218
124,62000,0.5743801653,0.0001319283,0.046653144,0.0009729712,0.2210953347,0.1355932203,0.2110091743
125,62500,0.4916666667,0.0002190563,0.0663983903,0.002036412,0.2615694165,0.1075697211,0.2538461538
126,63000,0.5882352941,0.0001413193,0.0468431772,0.0006234673,0.1527494908,0.2266666667,0.3066666667
127,63500,0.618852459,0.0001772025,0.0509803922,0.0013328711,0.231372549,0.1329479769,0.2203389831
128,64000,0.5642570281,0.0001403279,0.0453648915,0.0017229148,0.2840236686,0.0814479638,0.1597222222
129,64500,0.5927419355,0.0002217769,0.055666004,0.0009504725,0.1729622266,0.2333333333,0.3218390805
130,65000,0.636550308,0.0001212092,0.0502008032,0.0007676582,0.1485943775,0.1578947368,0.3378378378
131,65500,0.6454918033,6.28634292001e-05,0.0277227723,0.0008093667,0.196039604,0.0776699029,0.1414141414
132,66000,0.6160164271,5.52242102938e-05,0.0218253968,0.0007415823,0.1726190476,0.0744680851,0.1264367816
133,66500,0.5295315682,0.0001565374,0.0494071146,0.000962705,0.2015810277,0.162601626,0.2450980392
134,67000,0.5714285714,0.0001303356,0.0443548387,0.0007983056,0.1572580645,0.1632653061,0.2820512821
135,67500,0.6517311609,7.12854348015e-05,0.0318091451,0.0011009639,0.1988071571,0.0647482014,0.16
136,68000,0.5962732919,0.0001430639,0.0532786885,0.0011276803,0.2213114754,0.1268656716,0.2407407407
