filenames,synonymy,total.words,ttr
00000145_14000.txt,0.2179226069,494,0.528340081
00000145_18500.txt,0.1791044776,471,0.5371549894
00000145_23000.txt,0.244813278,486,0.5
00000145_27500.txt,0.1983122363,475,0.4757894737
00000145_32000.txt,0.2908704883,473,0.4714587738
00000145_36500.txt,0.1965811966,468,0.4786324786
00000145_41000.txt,0.2259414226,478,0.4832635983
00000145_5500.txt,0.2144329897,485,0.5463917526
00000151_1000.txt,0.2515592516,481,0.5051975052
00000151_104000.txt,0.2659793814,487,0.476386037
00000151_135500.txt,0.2515212982,495,0.4545454545
00000151_140000.txt,0.2304609218,499,0.5230460922
00000151_14500.txt,0.2789256198,484,0.479338843
00000151_149500.txt,0.2793176972,473,0.4651162791
00000151_153500.txt,0.2071129707,478,0.4393305439
00000151_158000.txt,0.218220339,473,0.4355179704
00000151_162500.txt,0.2820512821,469,0.4648187633
00000151_167000.txt,0.25,477,0.4758909853
00000151_171500.txt,0.2830188679,477,0.5052410901
00000151_176000.txt,0.3274725275,455,0.4703296703
00000151_180500.txt,0.3356321839,435,0.4505747126
00000151_23000.txt,0.2594142259,478,0.4686192469
00000151_27500.txt,0.2489451477,477,0.4884696017
00000151_59000.txt,0.2914893617,470,0.4489361702
00000151_63500.txt,0.2526096033,480,0.5270833333
00000151_68000.txt,0.2332657201,494,0.5
00000151_72500.txt,0.2787234043,470,0.5021276596
00000151_77000.txt,0.3126293996,483,0.4844720497
00000151_81500.txt,0.2588726514,480,0.4395833333
00000151_86000.txt,0.2958333333,482,0.5269709544
00000151_90500.txt,0.2215447154,493,0.5111561866
00000151_95000.txt,0.2252066116,485,0.5319587629
00000153_1.txt,0.2885375494,507,0.4536489152
00000153_103500.txt,0.1901840491,493,0.5436105477
00000153_108000.txt,0.26875,480,0.5770833333
00000153_112500.txt,0.1446280992,485,0.5484536082
00000153_117000.txt,0.1951219512,497,0.5472837022
00000153_29500.txt,0.2367346939,492,0.5447154472
00000153_34000.txt,0.2566191446,493,0.5334685598
00000153_38500.txt,0.202020202,494,0.4939271255
00000153_43000.txt,0.2312373225,493,0.5720081136
00000153_47500.txt,0.2298387097,498,0.5903614458
00000153_51500.txt,0.1909650924,494,0.5344129555
00000153_56000.txt,0.2459016393,489,0.5419222904
00000153_60500.txt,0.2765072765,488,0.5655737705
00000153_65000.txt,0.2642276423,493,0.5334685598
00000153_7000.txt,0.3018867925,478,0.539748954
00000153_74500.txt,0.1823770492,491,0.566191446
00000153_79000.txt,0.2328482328,485,0.5154639175
00000153_83500.txt,0.2670807453,483,0.5383022774
00000153_88000.txt,0.2032854209,489,0.5521472393
00000169_119000.txt,0.276,502,0.4262948207
00000169_123500.txt,0.228,506,0.4920948617
00000169_128000.txt,0.2342519685,510,0.468627451
00000169_132500.txt,0.2071713147,507,0.5029585799
00000169_137000.txt,0.2047713718,510,0.4529411765
00000169_17500.txt,0.2818003914,516,0.4903100775
00000169_22000.txt,0.2290836653,508,0.4960629921
00000169_26500.txt,0.2397660819,515,0.4446601942
00000169_31000.txt,0.1981308411,573,0.4118673647
00000169_35500.txt,0.2309160305,528,0.4583333333
00000169_40000.txt,0.2154150198,509,0.4322200393
00000169_4500.txt,0.2365805169,504,0.498015873
00000169_49500.txt,0.156555773,515,0.4815533981
00000169_53500.txt,0.2843137255,513,0.432748538
00000169_85000.txt,0.2400793651,504,0.4503968254
00000169_9000.txt,0.1972111554,506,0.4802371542
00000169_94500.txt,0.1814595661,506,0.5019762846
00000169_99000.txt,0.282,505,0.497029703
00000171_102500.txt,0.247983871,496,0.4818548387
00000171_107000.txt,0.2484725051,492,0.5528455285
00000171_111500.txt,0.2,496,0.5866935484
00000171_15000.txt,0.2572614108,483,0.5403726708
00000171_2000.txt,0.2556701031,486,0.4814814815
00000171_24500.txt,0.2326530612,492,0.5650406504
00000171_29000.txt,0.2413087935,490,0.5244897959
00000171_33500.txt,0.2781186094,491,0.5213849287
00000171_38000.txt,0.2672064777,495,0.5434343434
00000171_42500.txt,0.3185654008,475,0.4526315789
00000171_74000.txt,0.2276422764,492,0.5711382114
00000171_78500.txt,0.2360515021,470,0.5170212766
00000171_83000.txt,0.2121212121,499,0.5711422846
00000171_87500.txt,0.2738589212,482,0.5165975104
00000171_92000.txt,0.208,504,0.5694444444
00000171_96500.txt,0.2515090543,497,0.6116700201
00000172_100000.txt,0.2204408818,502,0.5577689243
00000172_10500.txt,0.1922290389,489,0.554192229
00000172_109500.txt,0.2211155378,504,0.5396825397
00000172_12000.txt,0.2295409182,501,0.5489021956
00000172_16500.txt,0.2208835341,498,0.5682730924
00000172_21000.txt,0.2327416174,507,0.5581854043
00000172_25500.txt,0.3078470825,498,0.5562248996
00000172_30000.txt,0.2375249501,503,0.5805168986
00000172_61500.txt,0.1967545639,493,0.5456389452
00000172_66000.txt,0.2135728543,501,0.5249500998
00000172_70500.txt,0.2642276423,494,0.5850202429
00000172_75000.txt,0.2459349594,495,0.5919191919
00000172_8000.txt,0.243852459,490,0.587755102
00000172_84500.txt,0.2393509128,495,0.5878787879
00000172_89000.txt,0.2134146341,494,0.5566801619
00000172_93500.txt,0.2116935484,498,0.5542168675
00000172_98000.txt,0.2469879518,500,0.542
00000173_12000.txt,0.255186722,483,0.5590062112
00000173_16500.txt,0.2417355372,487,0.5544147844
00000173_21000.txt,0.182952183,489,0.5194274029
00000173_25500.txt,0.206122449,491,0.5641547862
00000173_30000.txt,0.1890243902,497,0.5533199195
00000173_61500.txt,0.2542016807,478,0.5230125523
00000173_66000.txt,0.2128099174,487,0.546201232
00000173_70500.txt,0.2874743326,490,0.5367346939
00000173_75000.txt,0.2474226804,487,0.5112936345
00000173_8000.txt,0.2266112266,487,0.5523613963
00000173_84500.txt,0.2241014799,476,0.5609243697
00000173_89000.txt,0.2688391039,495,0.5515151515
00000173_9500.txt,0.2058823529,478,0.5857740586
00000190_103000.txt,0.2373225152,490,0.4734693878
00000190_107500.txt,0.2276422764,495,0.5474747475
00000190_112000.txt,0.2016460905,485,0.5340206186
00000190_116500.txt,0.250513347,488,0.487704918
00000190_121000.txt,0.1204819277,504,0.5714285714
00000190_125500.txt,0.189516129,497,0.5211267606
00000190_157000.txt,0.1690140845,500,0.558
00000190_17000.txt,0.2148594378,495,0.5393939394
00000190_21500.txt,0.2183673469,489,0.5235173824
00000190_26000.txt,0.1322645291,498,0.5823293173
00000190_30500.txt,0.1485943775,497,0.569416499
00000190_35000.txt,0.2363636364,494,0.5060728745
00000190_4000.txt,0.2540322581,497,0.5352112676
00000190_44500.txt,0.2653061224,486,0.4958847737
00000190_49000.txt,0.1881390593,484,0.4979338843
00000190_53000.txt,0.2525252525,493,0.5294117647
00000190_57500.txt,0.1897959184,492,0.4817073171
00000190_62000.txt,0.1851851852,492,0.5223577236
00000190_66500.txt,0.2379032258,492,0.4857723577
00000190_71000.txt,0.2346938776,485,0.424742268
00000191_102000.txt,0.197979798,499,0.5110220441
00000191_106500.txt,0.1883767535,501,0.4870259481
00000191_111000.txt,0.1835051546,485,0.5072164948
00000191_115500.txt,0.2072434608,497,0.4788732394
00000191_120000.txt,0.256,503,0.5407554672
00000191_12500.txt,0.196,510,0.5509803922
00000191_16000.txt,0.187755102,496,0.5584677419
00000191_20500.txt,0.2301425662,493,0.5659229209
00000191_25000.txt,0.1162324649,504,0.5575396825
00000191_3000.txt,0.1908548708,506,0.5395256917
00000191_34500.txt,0.2044534413,499,0.5470941884
00000191_39000.txt,0.2606060606,497,0.490945674
00000191_43500.txt,0.1883767535,502,0.5258964143
00000191_48000.txt,0.1838383838,497,0.5452716298
00000191_79500.txt,0.1930894309,500,0.466
00000191_84000.txt,0.1315789474,506,0.6086956522
00000191_88500.txt,0.1930894309,497,0.5452716298
00000191_93000.txt,0.2164328657,499,0.4869739479
00000191_97500.txt,0.1995884774,487,0.523613963
00000192_101000.txt,0.2268041237,489,0.527607362
00000192_105500.txt,0.2282157676,484,0.5433884298
00000192_110000.txt,0.2264150943,478,0.4853556485
00000192_11500.txt,0.1795918367,493,0.537525355
00000192_119500.txt,0.1326530612,492,0.5101626016
00000192_124000.txt,0.2280334728,480,0.5229166667
00000192_128500.txt,0.2903885481,490,0.4897959184
00000192_133000.txt,0.1686746988,498,0.5220883534
00000192_137500.txt,0.1898989899,496,0.5423387097
00000192_41000.txt,0.1471774194,498,0.5401606426
00000192_45500.txt,0.2295081967,491,0.5132382892
00000192_5000.txt,0.2125506073,498,0.5642570281
00000192_54500.txt,0.193877551,490,0.493877551
00000192_59000.txt,0.1857142857,492,0.5833333333
00000192_63500.txt,0.2746331237,481,0.5135135135
00000192_68000.txt,0.2135523614,489,0.5194274029
