STORY ID	PUB. DATE	CLASS	CHAR. (TOP 100)	NOUN (TOP 100)	CHAR. (TOP 500)	NOUN (TOP 500)	CHAR. (TOP 1000)	NOUN (TOP 1000)
22586	1986	c20	0.7550123373	0.9055538461	0.7218803062	0.8655747731	0.7136038797	0.8551134519
22587	1986	c20	0.5614164955	0	0.5059254936	0.5356896807	0.4787611839	0.5963302408
22588	1986	c20	0.8175917397	0.5315438084	0.7286765259	0.4586943189	0.7023160456	0.4191340565
22589	1986	c20	0.4890816632	0.8111071057	0.494206685	0.6666666667	0.4879103281	0.5415303611
22590	1986	c20	0.8987039541	0.8707318513	0.8765825435	0.8416404799	0.8646097872	0.8355226134
22591	1986	c20	0.9186894931	0.5380275868	0.8829470685	0.5172935265	0.8722918579	0.5048267903
22592	1986	c20	0.9464029463	0.5429248952	0.9194717662	0.6751743961	0.9140557619	0.6401099926
22593	1986	c20	0.7663339075	0.8081220356	0.6843429691	0.465378921	0.6587070414	0.4640118325
22594	1986	c20	0.8354492416	0.6	0.7772522442	0.5360562674	0.7568002515	0.5103103631
22595	1986	c20	0.9131318489	0.9346830082	0.8686652782	0.7943568432	0.8564761799	0.7753900233
22597	1986	c20	0.7941529744	0.7310747562	0.7332788622	0.6135001944	0.721459328	0.5838540461
22598	1986	c20	0.7732333775	0.6981631721	0.7171014952	0.710142157	0.7016971376	0.6916987097
22599	1986	c20	0.7725046967	0.7822958914	0.7242169878	0.8359266675	0.7128285505	0.8165656083
22600	1986	c20	0.8274806715	0.7650300229	0.7784282044	0.6918438939	0.7644511985	0.669329148
22601	1986	c20	0.7188643438	0.1777777778	0.5994815843	0.9847151936	0.5879791759	0.9800441771
22602	1986	c20	0.9413272658	0	0.9239059147	0	0.9195721427	0
22603	1986	c20	0.6018932207	0.6635672622	0.483915709	0.58391734	0.416055398	0.8371539007
22604	1986	c20	0.9045990618	0.4522670169	0.8563680718	0.4522670169	0.8428737888	0.4045199175
22606	1987	c20	0.8334941282	0.7240371412	0.7916890674	0.592134544	0.7851093746	0.5594333618
22607	1987	c20	0.6260879033	0.7168211765	0.5317006397	0.6007946192	0.5088014045	0.5856174404
22608	1987	c20	0.8576001371	0.5989120571	0.8098319755	0.4705910525	0.7884825843	0.4519105361
22609	1987	c20	0.2024829854	0.4246406485	0.1947452094	0.3415004758	0.1903467469	0.2651974177
22610	1987	c20	0.8846540747	0.386463459	0.8441074438	0.346221868	0.8253148468	0.3160760859
22611	1987	c20	0.6547311583	0.6409353494	0.5655770782	0.5067598599	0.53830589	0.4722726698
22612	1987	c20	0	0.5103103631	0	0.394771017	0	0.316227766
22613	1987	c20	0.9134939516	0.6053863744	0.8862635896	0.5310774209	0.8766855633	0.4935283841
22614	1987	c20	0.91642837	0.8224977986	0.8707684312	0.7487184388	0.8607391936	0.7214952765
22615	1987	c20	0.8214277744	0.654050025	0.7801987737	0.5754684656	0.7636185422	0.5502865522
22616	1987	c20	0.8901240853	0.5582905262	0.8482814714	0.4169751944	0.8326572758	0.2573374643
22618	1987	c20	0.9160865048	0.6299407883	0.8943541314	0.2372894989	0.8866523308	0.1928791875
22619	1987	c20	0.8646872611	0.154849825	0.8125021887	0.1513751265	0.7966792311	0.1553109812
22620	1987	c20	0.5962579848	0.5504301917	0.4596541974	0.4179977876	0.4308163711	0.3898063176
22621	1987	c20	0.9455274658	0.5420832905	0.9241355126	0.4153346793	0.9153074836	0.3604745617
22622	1987	c20	0.8893487638	0.5976829132	0.8517478504	0.3726818815	0.8391573409	0.366227264
22623	1987	c20	0.877770618	0.9272458179	0.8145662623	0.9028484661	0.7981306281	0.8830889566
22624	1987	c20	0.9254602738	0.7769085463	0.9092395028	0.7332871289	0.9053681024	0.7020269656
22625	1987	c20	0.9155853021	0.7071067812	0.8889675244	0.7071067812	0.8802868807	0.7071067812
22626	1987	c20	0.1711029708	0.6853528937	0.1474746738	0.5080315303	0.1159495674	0.4853864844
22627	1987	c20	0.8603185641	0.6804138174	0.8099937785	0.509133175	0.7921992024	0.5656854249
22628	1987	c20	0.8275948291	0.5423261445	0.7497866976	0.5897678246	0.7270966073	0.4923659639
22629	1987	c20	0.6394316567	0.4618802154	0.5768622425	0.264628062	0.5594080418	0.242535625
22630	1987	c20	0.9297348441	0.5132649026	0.9059797141	0.3822211891	0.8911001797	0.33983956
22631	1987	c20	0.8551750492	0.5207191752	0.819996616	0.4173124248	0.8080896722	0.9817269124
22632	1987	c20	0.9243696739	0.6288933929	0.9019166649	0.569730326	0.8957138645	0.5473786493
22633	1987	c20	0.9150055782	0.7698003589	0.8985372143	0.6963106238	0.8884128164	0.5773502692
22634	1987	c20	0.4879500365	0.4598004899	0.3627381251	0.5698583435	0.3450327797	0.5164136743
22635	1987	c20	0.6199027956	0.8815675527	0.4343782295	0.769515373	0.415132042	0.7525468776
22636	1987	c20	0.6301566962	0.455605689	0.5696852857	0.2891566265	0.5500629672	0.5548435111
22638	1987	c20	0.506965472	0	0.4331817704	0	0.4095831405	0
22639	1987	c20	0.2040485857	0.7142857143	0.2178040323	0.5367450401	0.2113248022	0.4288246466
22640	1987	c20	0.9192284496	0.6986710779	0.8857405702	0.6619448711	0.8743866689	0.6531013561
22641	1987	c20	0.5994691951	0	0.5113103648	0	0.4908099596	0
22642	1987	c20	0.828763638	0.5222329679	0.7654913142	0.3230291412	0.7286798204	0.2236067977
22643	1987	c20	0.9102323473	0.8136615929	0.8745854396	0.6682800146	0.859936725	0.6364458273
22644	1987	c20	0.6030954317	0.1889822365	0.5245965694	0.0983738754	0.5019452616	0.0857142857
22645	1987	c20	0.6251607726	0	0.6474871566	0	0.6353963673	0
22646	1987	c20	0.5422623527	0.7328416801	0.4332454996	0.7154858577	0.4041278213	0.6900896282
22647	1987	c20	0.866514168	0.4264014327	0.8140491887	0.3504565129	0.7975324229	0.3159194015
22649	1987	c20	0.8247449383	0	0.7575161005	0	0.7420824375	0
22650	1987	c20	0.7593480025	0	0.7242840128	0	0.7092951976	0
22651	1987	c20	0.8887715208	0.8349822356	0.8690614143	0.6625392833	0.8615110243	0.6457641242
22652	1987	c20	0.8970964827	0.9072378014	0.8703521805	0.8562454803	0.8650127968	0.8283304817
22653	1987	c20	0.869230109	0.8636538684	0.8431831144	0.7529932885	0.8336950402	0.7400929016
22654	1987	c20	0.9251425447	0.946188614	0.8983513241	0.9271266219	0.8902885912	0.8976672654
22655	1987	c20	0.7410448789	0.517054205	0.6928548747	0.4362309825	0.6696108558	0.421272405
22656	1987	c20	0.8688556944	0.1369477589	0.8097712455	0.2493313058	0.7907285552	0.3110665404
22657	1987	c20	0.9419066436	0.7820256528	0.9181189559	0.7222469333	0.9126424852	0.7115293011
22659	1987	c20	0.3304947362	0.825	0.2824311336	0.7226422815	0.2689571768	0.7050128862
22660	1987	c20	0.838269517	0.7462882386	0.723240856	0.6132902129	0.7038248279	0.563039309
22661	1987	c20	0.8223673691	0	0.7676103108	0.0778498944	0.740608255	0.1345345588
22662	1987	c20	0.8214966669	0.9090497515	0.8119131161	0.8566210648	0.805426367	0.8404422873
22663	1987	c20	0.8051338952	0.5533985905	0.640779133	0.4873397172	0.6247787474	0.4485825564
22664	1987	c20	0.7887474432	0.557773351	0.7350626419	0.4453636865	0.713463324	0.4293465195
22665	1987	c20	0.7614294399	0.4811252243	0.6894015014	0.3544587785	0.6593966763	0.3457053588
22666	1987	c20	0.606495101	0.7700294321	0.5881904479	0.5983508695	0.566023014	0.5857773768
22667	1987	c20	0.890830291	0.5692811434	0.8644323386	0.5457051563	0.8524186256	0.5457051563
22668	1987	c20	0.830368612	0.7815983737	0.7072484685	0.7063598878	0.6631682733	0.6863448921
22669	1987	c20	0.4053480042	0	0.3380617019	0	0.3060874194	0
22670	1987	c20	0.6317437427	0.9390321488	0.634795678	0.8089227116	0.6205068001	0.7701540462
22671	1987	c20	0.7317701031	0.377964473	0.6962681043	0.4061811972	0.6708159212	0.3666177876
22672	1987	c20	0.6212884043	0.7619026581	0.5367450401	0.6646119261	0.4987138424	0.6316202918
22673	1987	c20	0.5324820426	0.7528991585	0.443458587	0.6639915671	0.415609305	0.6536450907
22674	1987	c20	0.5006226685	0.3673485	0.4601576769	0.3099842047	0.4429429829	0.2831998841
22675	1987	c20	0.338677831	0.9028445077	0.2840121248	0.8476504941	0.2533359915	0.8272768555
22676	1987	c20	0.6826048272	0.5222329679	0.5625036032	0.3912927904	0.5289459493	0.3830654388
22677	1987	c20	0.6396006123	0.9611613137	0.5809811125	0.9472227361	0.5602909921	0.9296592011
22679	1987	c20	0.6617661662	0.526508684	0.5274096316	0.8573145534	0.502079011	0.8519671961
22680	1987	c20	0.8312388495	0	0.8008101193	0	0.7831587429	0
22681	1987	c20	0.8362247645	0.2519763153	0.7683886036	0.1458649915	0.7574539528	0.1414213562
22682	1987	c20	0.3603555399	0.9038769076	0.2490496339	0.8249579114	0.2479812535	0.8
22683	1987	c20	0.6479589512	0.6839061885	0.6390116198	0.6627334957	0.6232482215	0.5258737585
22684	1987	c20	0.704243798	0.3730019233	0.5971798029	0.3603018793	0.5798576598	0.3527378108
22685	1987	c20	0.7990077002	0.8566012096	0.7455926509	0.7593920766	0.7166776171	0.7325921348
22686	1987	c20	0.8894912638	0.2244699847	0.8545291244	0.2208802371	0.8446298575	0.2162503586
22687	1987	c20	0.8540492664	0.5809475019	0.7759850422	0.4763305116	0.7559183125	0.7919725252
22688	1987	c20	0.870281914	1	0.8316987234	1	0.8144172138	1
22689	1987	c20	0.5631574229	0.7041868508	0.5355093885	0.6389973242	0.5138947483	0.6148758864
22690	1987	c20	0.77881084	0.919866211	0.7330579988	0.6796590598	0.7148489614	0.6548761907
22691	1987	c20	0.7464833132	0.9107613659	0.6332786541	0.7920777302	0.595848475	0.7570775734
22692	1987	c20	0.8532323031	0.5704791219	0.8096220137	0.5046614663	0.7992238416	0.4410778427
22693	1987	c20	0.7941157603	0.6826936078	0.7479656838	0.5994341438	0.7206694887	0.5641489293
22694	1987	c20	0.8221475008	0.8853648783	0.789807191	0.7739527434	0.7925984098	0.7206220084
22695	1987	c20	0.7839532707	0.3248146966	0.7489819437	0.252393979	0.7364403515	0.2333839864
22696	1987	c20	0.9494289159	0.7183811165	0.9239450803	0.6866911354	0.9149716397	0.6493659783
22697	1987	c20	0.8997677985	0.1767766953	0.8601599945	0.1290994449	0.8493475074	0.1451801755
22699	1987	c20	0.8656479714	0.9057513533	0.7843302644	0.8395247493	0.7652541298	0.8199759526
22700	1987	c20	0.6744307698	0.500171556	0.6073146306	0.4170288281	0.5715030168	0.3458112739
22701	1987	c20	0.7254858155	0.7863867486	0.6394205213	0.726950578	0.5969584844	0.7145752309
22702	1987	c20	0.5650399911	0.6771111668	0.526146078	0.6432242018	0.5094006587	0.5983096871
